Sample Ploidy
BC61_ADN0017 4
BC61_ADN0018 4
BC61_ADN0019 2
BC61_ADN0020 4
BC61_ADN0021 4
BC61_ADN0022 2
BC61_ADN0023 4
BC61_ADN0024 2
BC61_ADN0025 4
BC61_ADN0026 2
BC61_ADN0001 4
BC61_ADN0002 4
BC61_ADN0003 4
BC61_ADN0004 4
BC61_ADN0005 4
BC61_ADN0006 4
BC61_ADN0007 4
BC61_ADN0008 4
BC61_ADN0009 4
BC61_ADN0010 4
BC61_ADN0011 2
BC61_ADN0012 2
BC61_ADN0013 4
BC61_ADN0014 4
BC61_ADN0015 4
BC61_ADN0016 2
BC61_ADN0017 4
BC61_ADN0018 4
BC61_ADN0019 2
BC61_ADN0020 4
BC61_ADN0021 4
BC61_ADN0022 2
BC61_ADN0023 4
BC61_ADN0024 2
BC61_ADN0025 4
BC61_ADN0026 2
BC61_ADN0027 2
BC61_ADN0028 2
BC61_ADN0029 4
BC61_ADN0030 2
BC61_ADN0031 4
MM50_ADN0001 4
MM50_ADN0002 4
MM50_ADN0003 4
MM50_ADN0004 2
MM50_ADN0005 4
MM50_ADN0006 2
MM50_ADN0007 2
MM50_ADN0008 2
MM50_ADN0009 2
MM50_ADN0010 2
MM50_ADN0011 4
MM50_ADN0012 4
MM50_ADN0013 4
MM50_ADN0014 2
MM50_ADN0015 4
MM50_ADN0016 4
MM50_ADN0017 4
MM50_ADN0018 4
MM50_ADN0019 2
MM50_ADN0020 2
MM50_ADN0021 4
MM50_ADN0022 4
MM50_ADN0023 4
MM50_ADN0024 4
MM50_ADN0025 2
BC61_ADN0037 2
BC61_ADN0038 2
BC61_ADN0039 2
BC61_ADN0040 2
BC61_ADN0041 4
BC61_ADN0042 4
BC61_ADN0043 2
BC61_ADN0044 4
BC61_ADN0045 4
BC61_ADN0049 4
BC61_ADN0050 2
BC61_ADN0051 4
BC61_ADN0052 4
BC61_ADN0053 2
BC61_ADN0054 2
BC61-ADN0059 4
